team,Performance Gls,Poss,Expected xAG,Expected xG,Per 90 Minutes G+A,Ast,Total Att,PPA,Performance Save%,Performance W,Performance L,Touches Touches,Touches Att 3rd,Take-Ons Succ%,Standard Sh,SCA SCA,SCA Types PassDead,GCA GCA,GCA Types PassLive,Team Success PPM,Team Success +/-,AHCh,AHh,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,avg_goals_for,avg_goals_against,home_game_ratio,AvgShots_last_5,AvgShots_on_Target_last_5,AvgCorners_last_5,AvgRed_Cards_last_5,AvgFull_Time_Goals_last_5,AvgHalf_Time_Goals_last_5
Arsenal,65,56.8,43.2,57.6,3.19,53,19660,422,74.6,19,4,23363,7471,43.9,509,926,80,115,83,1.92,34,-0.2,-0.2,2.156,1.732,4.032,1.884,1.954,2.3400000000000003,1.642,4.386,1.942,1.92,4.506,3.790000000000001,4.244,3.402,2.1700000000000004,1.748,3.9,1.916,1.976,2.34,1.63,4.18,1.948,1.944,4.359999999999999,3.836,4.35,3.18,2.236,1.7740000000000002,4.294,1.932,2.002,2.424,1.67,4.772,2.008,1.964,4.702,3.926,4.392,3.754,2.192,1.7579999999999998,1.92,1.982,2.386,1.652,1.97,1.95,4.136,4.5600000000000005,4.581999999999999,3.798000000000001,4.268,3.4120000000000004,1.6,1.4,0.6,15.0,5.8,4.8,0.2,1.6,0.8
Aston Villa,56,51.0,41.5,55.7,2.73,45,17475,316,67.1,19,9,21291,5275,44.9,454,841,85,102,80,1.78,9,-0.4,-0.4,2.484,1.562,4.228,1.95,1.896,2.476,1.582,4.516,1.946,1.916,4.43,2.47,4.346,2.3560000000000003,2.47,1.562,4.27,1.978,1.912,2.436,1.59,4.31,1.972,1.92,4.396,2.4,4.329999999999999,2.32,2.574,1.604,4.448,2.002,1.946,2.62,1.618,4.813999999999999,2.002,1.97,4.586,2.628,4.5120000000000005,2.422,2.53,1.586,1.992,1.926,2.488,1.608,1.986,1.94,4.279999999999999,4.73,4.558,2.498,4.416,2.3760000000000003,1.0,0.8,0.4,9.4,3.4,3.8,0.4,1.0,0.6
Bournemouth,54,48.3,41.9,61.3,2.58,39,15871,314,76.6,14,11,20395,5764,43.5,546,964,65,91,60,1.43,10,-0.85,-0.7,2.342,1.62,4.958,1.988,1.8520000000000003,2.396,1.606,5.672,1.95,1.91,4.518,1.778,4.306,1.816,2.332,1.6380000000000003,4.98,2.022,1.868,2.352,1.614,5.416,1.964,1.928,4.46,1.7579999999999998,4.176,1.8,2.422,1.662,5.23,2.04,1.902,2.544,1.652,6.082000000000001,2.018,1.96,4.686,1.856,4.51,1.866,2.384,1.6439999999999997,2.03,1.874,2.416,1.626,1.98,1.944,5.045999999999999,5.922,4.606,1.7920000000000005,4.386,1.8240000000000005,1.2,1.2,0.6,11.0,3.2,5.0,0.4,1.2,0.2
Brentford,64,47.8,41.3,57.6,2.89,43,16610,315,72.6,16,14,20864,5166,43.0,411,760,71,111,77,1.49,9,-0.05,-0.1,2.328,1.616,3.1460000000000004,1.946,1.896,2.478,1.566,3.042,1.908,1.948,4.014,2.914,3.9099999999999993,2.684,2.3,1.63,3.14,1.966,1.908,2.456,1.564,2.9799999999999995,1.922,1.968,3.966,2.914,3.84,2.682,2.412,1.664,3.2300000000000004,1.982,1.936,2.548,1.6119999999999997,3.236,1.972,2.006,4.154,3.04,4.069999999999999,2.758,2.35,1.646,1.972,1.932,2.518,1.584,1.944,1.988,3.1659999999999995,3.114,4.08,2.98,3.96,2.74,2.0,1.4,0.4,12.4,5.4,5.2,0.0,2.0,1.4
Brighton,60,52.0,39.7,56.5,2.7,40,18596,325,65.5,15,9,22986,5913,42.2,479,898,64,106,75,1.57,4,0.0,0.05,2.568,1.544,2.756,1.908,1.926,2.3760000000000003,1.6380000000000003,2.78,1.922,1.924,3.784,2.762,3.9260000000000006,2.8240000000000003,2.5900000000000003,1.5399999999999998,2.74,1.936,1.938,2.352,1.648,2.71,1.946,1.926,3.78,2.72,3.896,2.81,2.654,1.586,2.844,1.958,1.966,2.506,1.698,2.9280000000000004,1.992,1.988,3.932000000000001,2.896,4.061999999999999,2.9,2.606,1.566,1.942,1.964,2.406,1.662,1.98,1.946,2.778,2.836,3.838,2.806,3.968,2.88,2.6,1.2,0.6,15.2,6.6,5.4,0.0,2.6,0.8
Chelsea,60,57.3,51.6,66.7,2.86,46,20877,344,75.2,19,9,24671,6367,41.9,573,1050,59,108,75,1.78,20,-0.45,-0.5,2.332,1.62,4.188,1.91,1.92,2.414,1.584,4.144,1.924,1.938,4.112,2.208,4.034000000000001,2.088,2.346,1.63,4.13,1.952,1.94,2.426,1.57,4.01,1.94,1.95,4.069999999999999,2.1740000000000004,4.040000000000001,2.048,2.406,1.656,4.3740000000000006,1.966,1.962,2.506,1.626,4.376,1.976,1.994,4.25,2.284,4.186,2.1380000000000003,2.368,1.646,1.952,1.956,2.476,1.598,1.964,1.968,4.288,4.274,4.218,2.226,4.075999999999999,2.108,1.2,0.6,0.6,10.8,4.4,6.4,0.2,1.2,0.4
Crystal Palace,44,43.4,43.1,57.0,2.17,34,15125,262,67.4,12,11,19479,4307,42.9,490,838,75,80,53,1.41,0,-0.6,-0.65,2.306,1.73,4.662000000000001,1.874,1.962,2.326,1.722,4.8740000000000006,1.934,1.918,4.220000000000001,2.078,4.138,2.004,2.352,1.754,4.430000000000001,1.892,1.974,2.314,1.7459999999999998,4.540000000000001,1.948,1.944,4.16,2.072,4.21,1.986,2.402,1.7759999999999998,4.956,1.912,2.006,2.4720000000000004,1.7740000000000002,5.316,1.992,1.974,4.45,2.138,4.308,2.05,2.346,1.7579999999999998,1.91,1.994,2.33,1.7580000000000002,1.966,1.956,4.738000000000001,5.045999999999999,4.2780000000000005,2.102,4.194,2.026,2.0,1.2,0.4,16.0,6.4,4.2,0.0,2.0,1.0
Everton,38,41.1,31.5,40.6,1.73,26,14635,258,72.0,10,12,18989,4689,44.1,377,690,62,66,44,1.22,-3,-1.2,-1.05,2.056,1.814,6.8,1.948,1.888,2.204,1.7260000000000002,7.306,1.904,1.958,4.738,1.492,4.484,1.528,2.054,1.832,6.6,1.972,1.92,2.2299999999999995,1.704,6.85,1.916,1.974,4.686,1.482,4.396000000000001,1.5100000000000002,2.114,1.87,7.26,1.992,1.936,2.294,1.782,7.884,1.954,2.004,4.96,1.522,4.658,1.5639999999999998,2.09,1.852,1.986,1.914,2.244,1.746,1.932,1.99,6.904000000000001,7.297999999999999,4.828,1.498,4.604,1.532,1.6,0.8,0.4,10.4,4.8,3.4,0.0,1.6,1.0
Fulham,53,52.4,36.9,47.8,2.62,44,19276,332,67.5,15,13,23328,6184,45.1,487,917,73,99,80,1.46,2,0.0,0.05,2.176,1.718,3.1060000000000003,1.952,1.8880000000000003,2.196,1.714,3.148,1.866,1.994,3.958,3.374,3.944,3.182,2.15,1.7120000000000002,3.16,1.98,1.91,2.176,1.718,3.1100000000000003,1.8840000000000003,2.006,3.93,3.2700000000000005,3.85,3.15,2.248,1.7759999999999998,3.224,2.002,1.936,2.29,1.764,3.29,1.912,2.048,4.090000000000001,3.528,4.12,3.348,2.21,1.752,1.984,1.926,2.22,1.748,1.908,2.024,3.132,3.196,4.0,3.4240000000000004,3.974,3.2960000000000003,1.2,1.8,0.4,16.8,4.8,5.0,0.0,1.2,0.4
Ipswich Town,34,40.5,23.7,33.6,1.59,25,14311,164,64.2,4,23,18531,3850,43.1,340,635,69,56,44,0.59,-44,-0.35,-0.4,2.462,1.596,5.752000000000001,1.976,1.858,2.528,1.576,5.662,1.968,1.892,4.86,2.772,4.752,2.582,2.476,1.614,5.25,1.994,1.878,2.53,1.57,5.09,1.974,1.918,4.606,2.78,4.646,2.586,2.55,1.634,6.311999999999999,2.022,1.902,2.68,1.622,6.214,2.03,1.944,5.244,2.882,4.996,2.656,2.516,1.614,2.02,1.878,2.552,1.596,1.992,1.93,5.688,6.09,5.008,2.8239999999999994,4.862,2.628,0.6,2.2,0.4,12.2,3.0,3.2,0.2,0.6,0.2
Leicester City,33,45.6,25.0,32.4,1.57,25,17164,210,62.9,6,24,21309,3976,41.3,320,580,49,56,37,0.68,-45,-0.85,-0.9,2.236,1.67,5.858,1.884,1.952,2.2920000000000003,1.654,5.67,1.922,1.946,4.448,1.7900000000000005,4.508,1.766,2.216,1.662,5.706,1.91,1.98,2.286,1.64,5.376,1.928,1.964,4.4,1.7620000000000005,4.38,1.752,2.308,1.716,6.279999999999999,1.924,2.006,2.416,1.718,6.023999999999998,1.976,2.0,4.67,1.85,4.738,1.816,2.278,1.682,1.92,1.992,2.304,1.6780000000000002,1.948,1.98,5.95,5.794,4.54,1.8000000000000005,4.636,1.7880000000000005,1.2,1.4,0.4,8.8,3.0,3.2,0.0,1.2,0.8
Liverpool,84,57.4,59.6,80.0,4.0,64,21065,419,70.7,25,4,25093,6995,44.6,607,1126,69,146,111,2.24,45,-0.85,-0.8,2.8200000000000003,1.4620000000000002,5.084000000000001,1.89,1.952,2.928,1.446,5.754,1.924,1.938,4.902,1.876,4.658,1.904,2.85,1.466,5.18,1.926,1.964,2.936,1.432,5.58,1.952,1.94,4.8,1.842,4.61,1.88,2.946,1.4920000000000002,5.414,1.9360000000000004,1.996,3.186,1.476,6.484,1.972,2.012,5.23,1.954,4.896,1.94,2.862,1.484,1.918,1.99,2.958,1.456,1.966,1.954,4.968,6.03,5.1,1.872,4.744,1.93,2.2,2.0,0.6,16.4,4.6,6.2,0.2,2.2,1.4
Manchester City,66,61.7,51.1,63.6,3.17,48,23264,419,68.3,19,9,26718,9375,47.7,572,1040,64,116,88,1.84,26,-0.1,0.05,2.6659999999999995,1.476,3.942,1.964,1.874,2.588,1.518,4.834,1.914,1.94,5.390000000000001,4.898,5.114,4.664,2.64,1.496,3.99,2.0,1.89,2.538,1.532,4.69,1.95,1.94,5.23,4.651999999999999,4.976000000000001,4.15,2.776,1.516,4.15,2.016,1.92,2.736,1.558,5.148000000000001,1.974,2.008,5.672,5.208,5.384,5.086,2.704,1.512,2.002,1.91,2.588,1.544,1.962,1.962,3.992,5.064,5.606,5.18,5.144,4.880000000000001,1.6,0.4,0.6,16.2,4.6,7.6,0.2,1.6,1.0
Manchester Utd,40,53.2,37.9,49.7,1.84,28,19771,313,65.5,10,18,23978,5646,41.0,495,892,74,66,42,1.05,-12,-0.45,-0.5,2.2860000000000005,1.64,4.316,1.934,1.9,2.35,1.62,3.854000000000001,1.862,1.998,4.136,2.384,4.210000000000001,2.218,2.286,1.638,4.24,1.964,1.926,2.316,1.618,3.774,1.876,2.016,4.132,2.316,4.18,2.198,2.346,1.69,4.532,1.982,1.948,2.466,1.6880000000000002,4.156,1.93,2.058,4.308,2.524,4.37,2.284,2.306,1.666,1.978,1.932,2.376,1.6520000000000004,1.894,2.034,4.386,3.97,4.204,2.406,4.274,2.236,1.2,1.6,0.4,17.6,5.4,5.6,0.0,1.2,0.2
Newcastle Utd,66,50.9,45.2,62.6,3.14,50,18308,387,71.0,20,11,22350,5905,43.0,488,906,67,115,94,1.78,22,-0.85,-0.8,2.538,1.542,6.569999999999999,1.95,1.878,2.614,1.532,7.144,1.942,1.912,5.096,1.94,4.888,1.9,2.536,1.544,6.12,1.982,1.902,2.626,1.52,6.29,1.93,1.952,4.83,1.94,4.83,1.8880000000000003,2.63,1.582,7.198,2.0,1.922,2.736,1.568,8.052,2.016,1.976,5.5,2.016,5.132,1.944,2.592,1.566,1.992,1.908,2.636,1.544,1.962,1.956,6.456,7.44,5.192,1.962,5.01,1.922,1.2,0.6,0.6,16.8,5.4,7.2,0.0,1.2,0.4
Nott'ham Forest,57,40.9,32.1,44.3,2.68,42,13879,234,74.2,19,10,18416,4910,45.1,440,781,72,91,58,1.76,13,-0.2,-0.35,2.044,1.804,3.996,1.878,1.95,2.076,1.8,3.746,1.988,1.868,3.834000000000001,2.468,3.878,2.336,2.0420000000000003,1.826,3.84,1.904,1.964,2.0740000000000003,1.81,3.56,2.012,1.878,3.81,2.43,3.84,2.2960000000000003,2.092,1.854,4.252000000000001,1.924,1.994,2.144,1.856,3.9540000000000006,2.054,1.922,3.982,2.55,4.0600000000000005,2.402,2.072,1.832,1.914,1.99,2.106,1.826,2.044,1.886,4.068,3.828,3.922,2.496,3.954,2.368,1.0,1.4,0.6,12.2,4.0,5.2,0.0,1.0,0.4
Southampton,24,48.8,24.5,32.0,1.05,15,18198,214,67.6,2,29,22284,4682,41.7,328,604,55,40,23,0.32,-59,0.6,0.6,2.424,1.608,2.996,1.902,1.934,2.466,1.604,2.9,1.866,2.0,5.256,6.914,5.186000000000001,6.343999999999999,2.396,1.614,2.896,1.928,1.964,2.48,1.586,2.7960000000000007,1.896,1.996,5.07,6.75,5.17,5.69,2.5340000000000003,1.65,3.176,1.946,1.982,2.5740000000000003,1.656,3.0420000000000003,1.92,2.058,5.55,7.347999999999999,5.432,7.053999999999999,2.456,1.634,1.932,1.972,2.48,1.618,1.908,2.016,3.0499999999999994,2.926,5.442,7.138,5.26,6.504,0.4,1.6,0.6,6.0,1.8,3.6,0.0,0.4,0.2
Tottenham,60,55.2,43.1,56.8,2.89,47,19655,366,65.7,11,21,23886,6174,38.0,487,868,67,104,78,1.03,2,-0.7,-0.55,2.928,1.418,5.19,1.944,1.892,2.81,1.476,6.23,1.954,1.89,5.13,2.216,4.872,2.31,2.976,1.424,5.390000000000001,1.968,1.902,2.782,1.48,6.11,1.992,1.898,5.0,2.216,4.726000000000001,2.2960000000000003,3.076,1.4520000000000002,5.558000000000001,1.996,1.928,3.026,1.502,6.946000000000001,2.014,1.962,5.38,2.304,5.052,2.374,2.968,1.4460000000000002,1.98,1.924,2.814,1.4940000000000002,2.004,1.918,5.086,6.63,5.34,2.254,4.98,2.34,0.6,2.8,0.4,6.0,1.8,2.4,0.0,0.6,0.6
West Ham,40,48.2,33.0,45.9,1.78,26,17709,262,68.1,10,17,22119,4769,43.0,447,797,69,62,37,1.08,-18,-0.25,-0.25,2.228,1.686,3.3280000000000003,1.93,1.898,2.14,1.746,3.3240000000000007,1.92,1.922,3.708,2.37,3.768,2.2960000000000003,2.246,1.69,3.35,1.974,1.896,2.112,1.7559999999999998,3.26,1.962,1.93,3.7,2.3360000000000003,3.72,2.284,2.29,1.732,3.482,1.988,1.934,2.256,1.8060000000000005,3.498,1.988,1.972,3.832,2.442,3.924,2.3660000000000005,2.254,1.718,1.978,1.926,2.148,1.786,1.984,1.944,3.4,3.418,3.74,2.398,3.808,2.314,1.8,1.4,0.4,11.6,4.2,3.0,0.0,1.8,0.6
Wolves,50,47.5,33.3,41.3,2.47,39,16742,261,62.3,12,19,20958,4376,44.0,401,698,50,90,74,1.11,-15,-0.45,-0.5,2.22,1.698,4.392,1.916,1.93,2.194,1.736,4.618,1.948,1.9,4.040000000000001,2.226,4.014,2.124,2.216,1.7079999999999995,4.380000000000001,1.94,1.944,2.178,1.764,4.54,1.964,1.916,3.97,2.2020000000000004,3.890000000000001,2.1100000000000003,2.28,1.7419999999999998,4.59,1.96,1.972,2.276,1.798,4.928,2.024,1.956,4.2700000000000005,2.2880000000000003,4.126,2.1699999999999995,2.256,1.722,1.954,1.958,2.2060000000000004,1.768,1.99,1.938,4.488,4.754,4.106,2.274,4.078,2.144,1.2,1.6,0.6,13.2,3.8,6.8,0.0,1.2,0.4
